 t ; U ; l
 0;255;0.00
 8.32;250.7;0.74
 16.65;245.4;1.67
 24.97;240;2.63
 33.29;235.7;3.42
 41.62;230.4;4.41
 49.94;226;5.24
 58.26;221;6.21
 66.59;216.4;7.13
 74.91;212;8.02
 83.24;207;9.06
 91.56;203.4;9.82
 99.88;199;10.77
 108.21;194.8;11.70
 116.53;188;13.24
 124.84;184.1;14.15
 133.18;180;15.13
 141.5;176;16.10
 149.82;172.2;17.05
 158.15;168.9;17.89
 166.47;165;18.91
 174.79;161.2;19.92
 183.12;155;21.62
 191.44;152;22.47
 199.76;149;23.34
 208.09;145;24.52
 216.41;141.6;25.55
 224.74;138.3;26.57
 233.06;135;27.62
 241.38;132;28.60
 249.71;129;29.60
 258.03;126;30.62
 266.35;123;31.66
 274.68;120;32.74
 283;117;33.84

