t; U; l
0;255;0.00
10.37;253;0.34
20.73;251;0.69
31.1;248.9;1.05
41.47;245;1.74
51.84;243;2.09
62.2;240.8;2.49
72.57;238;3.00
82.94;236.1;3.34
93.31;234;3.73
103.67;231;4.29
114.04;229;4.67
124.41;227;5.05
134.78;225;5.44
145.14;223;5.82
155.51;221;6.21
165.88;219;6.61
176.24;217;7.01
186.61;215;7.41
196.98;213;7.82
207.35;211;8.23
217.71;209.3;8.58
228.08;208;8.85
238.45;206;9.27
248.82;204;9.69
259.18;201;10.33
269.55;199.4;10.68
279.92;198;10.99
290.29;196;11.43
300.65;194;11.87
311.02;193;12.10
321.39;191;12.55
331.76;188.2;13.19
342.12;187;13.47
352.49;185;13.94
362.86;184;14.17
373.22;182;14.65
383.59;181;14.89
393.96;179;15.37
404.33;177.7;15.69
414.69;176;16.10
425.06;174;16.60
435.43;173;16.85
445.8;171.2;17.30
456.16;170;17.61
466.53;169;17.87
476.9;167;18.38
487.27;165;18.91
