t;U;l
0;13.95;0.00
10;13.84;0.34
20;13.76;0.60
30;13.67;0.88
40;13.57;1.20
50;13.49;1.46
60;13.4;1.75
70;13.31;2.04
80;13.21;2.37
90;13.12;2.66
100;13.03;2.96
110;12.95;3.23
120;12.86;3.53
130;12.78;3.80
140;12.71;4.04
150;12.62;4.35
160;12.53;4.66
170;12.45;4.94
180;12.37;5.22
190;12.29;5.50
200;12.22;5.75
210;12.14;6.04
220;12.06;6.32
230;11.98;6.61
240;11.91;6.87
250;11.83;7.16
260;11.75;7.45
270;11.67;7.75
280;11.6;8.01
290;11.52;8.31
300;11.44;8.61
310;11.37;8.88
320;11.3;9.15
330;11.23;9.42
340;11.15;9.73
350;11.08;10.00
360;11;10.32
370;11.93;6.79
380;10.86;10.87
390;10.8;11.12
400;10.73;11.40
410;10.66;11.68
420;10.59;11.97
430;10.52;12.26
440;10.45;12.55
450;10.38;12.84
460;10.31;13.13
470;10.25;13.39
480;10.18;13.68
490;10.12;13.94
500;10.05;14.24
510;9.99;14.50
520;9.92;14.81
530;9.86;15.07
540;9.8;15.33
